Sr No ,Category ,Sub Category,Product Name,Product Code,Product url,SKU,MRP,Sale Price,GST,Transfer Rate,Shipping,Margin,Discount,Keyword,Meta Description,Short Description,Canonical tag,Seller Name,Seller Code,Bachat Gat,ULB/City,Contact Person,Mobile No.,Email,Product Status
1,Fashion,Jewellery,Beads Choker Necklace Set N05,N05,https://udyoginimart.com/product-home/Bead-Choker-Necklace-Set,Pieces,480,360,0,180,0,50,25,Beads Choker Necklace Set,Beads Choker Necklace Set,"Elevate your elegance with this stunning jewelry set, perfect for special occasions and traditional celebrations.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
2,Fashion,Jewellery,Kamarband for Women N06,N06,https://udyoginimart.com/product-home/Kamarband-for-Women-N06,Pieces,300,225,0,110,0,51.11,25,Kamarband for Women,Kamarband for Women,"Elevate your ethnic attire with this exquisite kamarband, seamlessly blending traditional allure with contemporary elegance. Meticulously crafted from good quality material, this waistband accessory promises to enrich any outfit with opulence.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
3,Fashion,Jewellery,Royal Radiance Elegant Baajuband,N21,https://udyoginimart.com/product-home/Royal-Radiance-Elegant-Baajuband,Qty,315,235,0,120,0,48.94,25.4,Royal Radiance Elegant Baajuband,Royal Radiance Elegant Baajuband,"Introducing the ""Royal Radiance"" baajuband, a quintessential piece of traditional arm jewelry that exudes elegance and grace.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
4,Fashion,Jewellery,Moti Choker Necklace Set,N22,https://udyoginimart.com/product-home/Moti-Choker-Necklace-Set-N22,Qty,200,150,0,60,0,60,25,Moti Choker Necklace Set,Moti Choker Necklace Set,"Moti Choker Necklace Set - Enhance your jewelry collection with this stunning handcrafted necklace, where traditional allure meets modern sophistication.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
5,Fashion,Jewellery,Moti Choker Necklace Set,N23,https://udyoginimart.com/product-home/Moti-Choker-Necklace-Set-N23,Qty,200,150,0,60,0,60,25,Moti Choker Necklace Set,Moti Choker Necklace Set,"Enhance your jewelry collection with this stunning handcrafted necklace, where traditional allure meets modern sophistication.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
6,Fashion,Jewellery,Moti Choker Necklace Set,N24,https://udyoginimart.com/product-home/Moti-Choker-Necklace-Set-N24,Qty,200,150,0,60,0,60,25,Moti Choker Necklace Set,Moti Choker Necklace Set,"Enhance your jewelry collection with this stunning handcrafted necklace, where traditional allure meets modern sophistication.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
7,Fashion,Jewellery,Tanmani Necklace Set,N25,https://udyoginimart.com/product-home/Tanmani-Necklace-Set,Qty,435,325,0,150,0,53.85,25.29,Tanmani Necklace Set,Tanmani Necklace Set,"Elevate your style with our exquisite dual-strand beaded necklace. Crafted with attention to detail, this accessory seamlessly blends classic elegance with modern flair.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,y
8,Gifting and Accessories,Keychain,Strawberry Keychain,P0001,https://udyoginimart.com/product-home/strawberry-keychain,Pieces,100,90,0,45,0,50,10,Strowberry Keychain,Strowberry Keychain,Add a touch of charm and whimsy to your everyday essentials with our Hand-Woven Strawberry Keychain.,,Pranoti More,,Sayli MBG,Vasai-Virar,Pranoti More,9004170745,,y
9,Fashion,Jewellery,Moti Haar (Kanthi) No. 028,N28,https://udyoginimart.com/product-home/moti-haar-(kanthi)no.-028,Pieces,200,150,0,0,0,0,0,Article No. 028,Article No. 028,"Embrace tradition and spirituality with this exquisite Ganpati Kanthi necklace. Meticulously handcrafted with precision, this dual-strand beaded necklace embodies devotion in every detail.",,Udyogini,,Umart,Nashik,Mart,9874563210,help@udyoginimart.com,n
10,Fashion,Jewellery,Article No. 029,N29,https://udyoginimart.com/product-home/article-no-029,Pieces,200,150,0,0,0,0,0,Article No. 029,Article No. 029,"Quality & Skin Friendly: Crafted to meet international standards, ensuring it is very skin-friendly. Made from toxic-free materials, it is anti-allergic and safe for the skin.",,Shri Mahakakshimi MBG,,Shri Mahakakshimi MBG,Mira-Bhayandar,Akshata Shigwan,8779828940,,n
